,product,value,customer
649,"['32078802', '32078970', '32476192', '32988396', '32842551', '31618475', '32988382', '35662704', '32078795', '35662641', '34129942']","[827.3627254565821, 682.2102925851468, 559.0926091472996, 469.8809320707791, 299.6981052939996, 290.4188669245634, 274.7797456457728, 210.10323277647228, 192.02989367568824, 185.0683652466133, 77.11479993801223]",160486
650,['32078802'],[299.1785640589235],380216
651,"['32078830', '32078802', '32842551', '32078970']","[374.8372656119832, 254.2441279941481, 42.837897641664355, 13.252786966340373]",469789
652,['32078830'],[406.43274428749595],436341
653,"['36298290', '36298206', '36298416', '36298381', '36298262', '35609273', '36298395', '36298220', '35609252', '35609245']","[944.4036335152042, 594.5667014569935, 167.78769704519127, 120.5542163488181, 115.18241155595084, 108.49303078002146, 74.32099497492224, 69.3529172733598, 55.602139549229754, 37.96969474836661]",849524
654,"['32078830', '35609273', '35609252', '35609245']","[406.43274428749595, 108.49303078002146, 55.602139549229754, 37.96969474836661]",593319
655,['32981935'],[130.3509040171219],490755
656,['35609245'],[6.4213161425461545],118804
657,"['32988382', '31618321', '32988396', '34129942', '31618475']","[274.7797456457728, 257.0363812253069, 132.89327860660381, 77.11479993801223, 18.299975396457285]",16875
658,"['32988382', '31618321', '32988396', '34129942', '31618475']","[274.7797456457728, 257.0363812253069, 132.89327860660381, 77.11479993801223, 18.299975396457285]",620604
659,"['32988396', '31618475', '32988382', '36298416', '36298262', '36298395', '36298220', '35609245', '31618300']","[412.5500204507784, 257.16660441745756, 203.04169765374783, 167.78769704519127, 115.18241155595084, 74.32099497492224, 69.3529172733598, 6.4213161425461545, 2.376759216964381]",73753
660,"['34130894', '34798386']","[128.34496232324597, 25.533094827835328]",635218
661,"['35609273', '35609252', '35609245']","[108.49303078002146, 55.602139549229754, 37.96969474836661]",155407
662,"['35609273', '35609252', '35609245']","[108.49303078002146, 55.602139549229754, 37.96969474836661]",704689
663,"['34798386', '32981935', '34130894']","[546.1220631222034, 130.3509040171219, 128.34496232324597]",609234
664,"['32078830', '35984452', '32078802', '32842551', '32078970', '35609245']","[374.8372656119832, 286.2017037296525, 254.2441279941481, 42.837897641664355, 13.252786966340373, 6.4213161425461545]",57892
665,"['32981935', '31047520', '31047492', '31047450', '35662452', '31047415', '31047464']","[130.3509040171219, 87.731985454361, 61.92253052534606, 48.595294241035994, 34.505553090471324, 27.531580101500445, 23.290491077536526]",274745
666,"['36298290', '36298262', '36298220', '36298206', '36298416', '36298395', '34798386', '35984452', '34130894', '36298381']","[944.4036335152042, 701.8400258068159, 670.479582489042, 594.5667014569935, 581.9012585327861, 559.7964414719744, 546.1220631222034, 286.2017037296525, 128.34496232324597, 120.5542163488181]",553077
667,"['32078802', '32078970', '36298220', '36298206', '36298416', '32476192', '36298290', '32842551', '32078795', '36298381', '36298262']","[827.3627254565821, 682.2102925851468, 670.479582489042, 594.5667014569935, 581.9012585327861, 559.0926091472996, 375.4677387170732, 299.6981052939996, 192.02989367568824, 120.5542163488181, 30.012466821708426]",265269
668,"['32078830', '32476192', '32078802', '32842551', '32078795', '32078970', '32079103', '32078935']","[632.4118090777264, 559.0926091472996, 509.91262997998035, 273.4956226625291, 231.00431297009112, 57.526631009814786, 25.65671892200126, 1.1354281836515119]",221976
669,"['32988396', '31618321', '31618475', '32988382']","[417.3825972664224, 257.0363812253069, 227.73869121851487, 135.90600890982168]",813483
670,"['36298416', '36298395', '36298290', '36298262', '36298220', '36298206', '36298381', '36298122']","[1791.7685004833104, 1530.2592960918003, 1246.3935383487997, 756.5477647131631, 697.6727245029272, 645.8047030281339, 584.8409267290149, 151.99817684579284]",496366
671,"['32078830', '32476192', '32078802', '32988396', '32842551', '31618475', '32078795', '32988382', '32078970', '31618300', '32078935']","[632.4118090777264, 559.0926091472996, 509.91262997998035, 412.5500204507784, 273.4956226625291, 257.16660441745756, 231.00431297009112, 203.04169765374783, 57.526631009814786, 2.376759216964381, 1.1354281836515119]",606153
672,"['31047520', '31047492', '31047450', '35662452', '31047415', '31047464']","[87.731985454361, 61.92253052534606, 48.595294241035994, 34.505553090471324, 27.531580101500445, 23.290491077536526]",2844
673,"['32988382', '31618321', '32988396', '34129942', '31618475']","[274.7797456457728, 257.0363812253069, 132.89327860660381, 77.11479993801223, 18.299975396457285]",434949
674,"['32988396', '31618475', '31618321', '32988382', '31047520', '35662452', '31047450', '31047415', '31047492']","[634.7881591196956, 420.09703990130134, 257.0363812253069, 254.2146554359113, 39.14246388387581, 34.505553090471324, 31.941530432333607, 27.531580101500445, 7.910277495538107]",542966
675,"['32078830', '32078802', '32842551', '32078795', '32078970', '32079103', '32078935']","[632.4118090777264, 509.91262997998035, 273.4956226625291, 231.00431297009112, 57.526631009814786, 25.65671892200126, 1.1354281836515119]",149882
676,"['32988396', '31618475', '32988382', '31618321', '34129942']","[469.8809320707791, 290.4188669245634, 274.7797456457728, 257.0363812253069, 77.11479993801223]",745511
677,"['36298290', '36298262', '36298220', '36298206', '36298416', '36298395', '32988396', '31618475', '32988382', '36298381', '34798386']","[944.4036335152042, 701.8400258068159, 670.479582489042, 594.5667014569935, 581.9012585327861, 559.7964414719744, 412.5500204507784, 257.16660441745756, 203.04169765374783, 120.5542163488181, 25.533094827835328]",316427
678,"['32078802', '32078970', '32476192', '32078830', '32842551', '35984452', '32078795']","[827.3627254565821, 682.2102925851468, 559.0926091472996, 374.8372656119832, 299.6981052939996, 286.2017037296525, 192.02989367568824]",672945
679,"['32078830', '32078802', '32476192', '32842551', '32078795', '32078970', '32078935', '32079103']","[780.0825847850617, 587.9303412019748, 559.0926091472996, 328.64813942743154, 272.8778474957213, 191.44276881610836, 45.986274830583326, 25.65671892200126]",334399
680,"['31618321', '32988382', '32988396', '31618475', '35609245']","[257.0363812253069, 254.2146554359113, 132.89327860660381, 18.299975396457285, 6.4213161425461545]",301199
681,"['36298416', '36298290', '36298395', '36298262', '36298220', '36298206', '32981935']","[1083.2951539054807, 931.4924342516136, 798.6553118277213, 419.75899230552, 408.8396852381886, 341.64604831728474, 130.3509040171219]",504549
682,"['36298416', '36298395', '36298290', '36298262', '36298220', '36298206', '36298381', '36298122', '35609273', '35609252', '35609245']","[1791.7685004833104, 1530.2592960918003, 1246.3935383487997, 756.5477647131631, 697.6727245029272, 645.8047030281339, 584.8409267290149, 151.99817684579284, 108.49303078002146, 55.602139549229754, 37.96969474836661]",204187
683,['34798386'],[25.533094827835328],71118
684,['32981935'],[130.3509040171219],394621
685,"['36298290', '36298206', '36298416', '36298381', '36298262', '35609273', '36298395', '36298220', '35609252', '35609245']","[944.4036335152042, 594.5667014569935, 167.78769704519127, 120.5542163488181, 115.18241155595084, 108.49303078002146, 74.32099497492224, 69.3529172733598, 55.602139549229754, 37.96969474836661]",248126
686,"['31047520', '31047492', '31047450', '31047464']","[87.731985454361, 61.92253052534606, 48.595294241035994, 23.290491077536526]",619775
687,['35074081'],[7.836897681426502],500191
688,"['32078830', '32078802', '32476192', '32842551', '32078795', '32078970', '32078935', '32079103']","[780.0825847850617, 587.9303412019748, 559.0926091472996, 328.64813942743154, 272.8778474957213, 191.44276881610836, 45.986274830583326, 25.65671892200126]",540659
689,"['36298290', '32988396', '36298206', '31618475', '31618321', '32988382', '36298416', '36298381', '36298262', '36298395', '36298220']","[944.4036335152042, 634.7881591196956, 594.5667014569935, 420.09703990130134, 257.0363812253069, 254.2146554359113, 167.78769704519127, 120.5542163488181, 115.18241155595084, 74.32099497492224, 69.3529172733598]",79188
690,"['32981935', '31047443', '31047520', '31047492']","[130.3509040171219, 41.84850658896197, 27.114171748061022, 8.083787224374996]",110207
691,"['32078830', '32476192', '32078802', '32842551', '32078795', '32078970', '32078935']","[632.4118090777264, 559.0926091472996, 509.91262997998035, 273.4956226625291, 231.00431297009112, 57.526631009814786, 1.1354281836515119]",515845
692,"['32988396', '31618475', '31618321', '32988382']","[634.7881591196956, 420.09703990130134, 257.0363812253069, 254.2146554359113]",396876
