,product,value,customer
1075,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",715179
1076,"['36298220', '36298206', '36298381']","[876.9585324254264, 689.2502796946033, 136.19829275876663]",398849
1077,"['31618475', '32988382', '34129942']","[272.0252261069808, 253.01601183589494, 18.210682594912296]",443105
1078,"['36298416', '36298395', '36298220', '36298206', '36298381', '36298122']","[2275.933141867629, 1234.2502222916794, 876.9585324254264, 689.2502796946033, 678.9605673147175, 159.24688011896038]",99395
1079,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",790342
1080,"['32078802', '32078970', '32078795', '32842551', '34798386', '34130894']","[1426.2324657128029, 829.881066034175, 256.8448607981492, 254.71926128307788, 161.6051524421832, 49.40063491208645]",621082
1081,"['31047450', '31047464']","[73.77258451199832, 52.34917005095697]",548500
1082,"['32078802', '32078970', '32078795', '32842551', '31047450', '31047464']","[1426.2324657128029, 829.881066034175, 256.8448607981492, 254.71926128307788, 73.77258451199832, 52.34917005095697]",800878
1083,['32078970'],[22.946484874586204],589665
1084,"['36298220', '36298206', '36298381']","[876.9585324254264, 689.2502796946033, 136.19829275876663]",372483
1085,"['31047464', '31047450']","[52.34917005095697, 36.52506843159224]",235089
1086,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",527388
1087,"['36298416', '36298395', '31618321', '36298220', '31618475', '36298206', '32988382', '36298122', '34129942', '36298381', '31618405']","[2275.933141867629, 2099.3794220461164, 945.1447404429092, 876.9585324254264, 737.4983489619906, 689.2502796946033, 498.5654932260181, 159.24688011896038, 148.9027885253545, 136.19829275876663, 118.35782439901915]",762482
1088,"['34798386', '34130894']","[161.6051524421832, 49.40063491208645]",54489
1089,"['32078802', '32078795', '32842551', '32078970', '32078935']","[1081.368219757816, 384.917351807399, 336.74698368175575, 285.8383722766826, 69.07445737837183]",373834
