,product,value,customer
63,"['31618321', '32988382', '31618475', '35609273', '35609252', '31618405', '34129942']","[410.0400223199819, 142.63741178984728, 98.74240426637577, 85.28509666770042, 34.788990684693694, 33.91712771021427, 13.078840080548325]",344722
64,['36298381'],[283.57762730470984],37932
65,"['32078795', '32078970', '32842551', '32078935']","[215.5980103587207, 179.82504180651014, 179.63390130187565, 46.630957100973724]",630562
66,"['31618321', '31618475', '32988382', '34129942', '31618405']","[410.0400223199819, 222.9675327068517, 209.9403676644521, 52.49113365886005, 33.91712771021427]",446016
67,"['36298381', '35609273', '35609252']","[283.57762730470984, 85.28509666770042, 34.788990684693694]",170176
68,['36298381'],[283.57762730470984],348478
69,"['32988382', '31618475', '34129942']","[142.63741178984728, 98.74240426637577, 13.078840080548325]",558725
70,"['31618321', '31618475', '32988382', '35609273', '34129942', '35609252', '31618405']","[410.0400223199819, 222.9675327068517, 209.9403676644521, 85.28509666770042, 52.49113365886005, 34.788990684693694, 33.91712771021427]",313732
71,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",687390
72,"['32078795', '32842551', '32078970', '32079082', '32078935']","[203.95420668571163, 182.36516456806467, 62.622532437596284, 11.309078758771438, 1.8983611955475592]",781040
73,['36298381'],[283.57762730470984],520369
74,"['36298381', '35609273', '35609252']","[283.57762730470984, 85.28509666770042, 34.788990684693694]",60067
75,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",282317
76,"['32078970', '32078795', '32842551']","[528.9564844490574, 117.72593926855643, 83.09635618345413]",234504
77,['36298381'],[283.57762730470984],736632
78,"['36298381', '32988382', '31618475', '35609273', '35609252', '34129942']","[283.57762730470984, 142.63741178984728, 98.74240426637577, 85.28509666770042, 34.788990684693694, 13.078840080548325]",157390
79,"['35609273', '35609252']","[85.28509666770042, 34.788990684693694]",734470
80,"['31618321', '32988382', '31618475', '31618405', '34129942']","[410.0400223199819, 132.63339987139267, 89.84182140016723, 33.91712771021427, 13.078840080548325]",437272
81,"['32078970', '31618321', '31618475', '32988382', '32078795', '32842551', '34129942', '31618405']","[528.9564844490574, 410.0400223199819, 222.9675327068517, 209.9403676644521, 117.72593926855643, 83.09635618345413, 52.49113365886005, 33.91712771021427]",332146
